Object,Close-Approach (CA) Date,CA DistanceNominal (km),CA DistanceMinimum (km),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity
(2023 RO1),2023-Sep-12 07:35 ± < 00:01,2509760,2496988,12.41,12.4,26.1,16 m -   36 m,0
(2023 SB3),2023-Sep-12 22:45 ±    00:05,4377610,4314404,8.29,8.28,27.3,9.1 m -   20 m,0
(2023 RR),2023-Sep-13 02:49 ±    00:03,6659521,6592421,21.16,21.16,24.3,36 m -   81 m,0
(2023 RH2),2023-Sep-13 04:34 ± < 00:01,4339192,4254775,21.47,21.47,24,43 m -   96 m,0
(2023 SS4),2023-Sep-13 08:51 ±    00:06,1856200,1841239,11.82,11.8,27.1,10 m -   23 m,0
(2023 SV1),2023-Sep-13 11:07 ±    00:05,2404688,2392644,19.69,19.69,24.1,40 m -   89 m,1
(2023 RE4),2023-Sep-13 11:17 ± < 00:01,3664009,3643528,8.84,8.83,26.8,11 m -   26 m,0
(2023 SE),2023-Sep-13 11:26 ± < 00:01,3339293,3327465,13.59,13.58,25.8,18 m -   41 m,0
(2023 RR5),2023-Sep-13 13:11 ± < 00:01,207382,207261,13.79,13.65,28.8,4.7 m -   11 m,0
(2023 SL1),2023-Sep-13 16:30 ± < 00:01,2131129,2121232,13.77,13.75,25.6,21 m -   46 m,0
(2023 RC4),2023-Sep-13 18:32 ± < 00:01,5012142,4988249,7.58,7.57,26.6,13 m -   29 m,0
(2023 SG),2023-Sep-13 20:38 ±    00:02,3762209,3742965,8.44,8.42,26.6,13 m -   28 m,0
(2023 RA10),2023-Sep-14 06:27 ± < 00:01,1327976,1326013,4.24,4.17,28.8,4.6 m -   10 m,0
(2023 RZ7),2023-Sep-14 11:26 ± < 00:01,3786512,3774814,11.89,11.88,23.9,44 m -   98 m,0
(2023 RL6),2023-Sep-14 12:13 ± < 00:01,3284024,3278034,9.17,9.15,25.7,19 m -   43 m,0
(2023 SS5),2023-Sep-14 13:57 ±    05:59,1281758,1129765,9.97,9.94,28.3,5.9 m -   13 m,0
(2023 SV7),2023-Sep-14 14:46 ±    00:02,1703088,1700145,2.25,2.15,28.9,4.4 m -  9.7 m,0
(2023 RE5),2023-Sep-14 15:42 ± < 00:01,881332,877330,13.62,13.59,27.3,9.3 m -   21 m,0
(2023 SA4),2023-Sep-14 16:40 ±    00:12,5015455,4955541,4.1,4.08,27.3,9.3 m -   21 m,0
(2023 SL4),2023-Sep-14 17:20 ±    00:02,2012231,1995027,7.01,6.98,26.8,12 m -   27 m,0
(2023 SP),2023-Sep-14 21:28 ± < 00:01,865703,863342,13.96,13.93,26.7,12 m -   27 m,0
(2023 RZ9),2023-Sep-15 01:11 ± < 00:01,5003814,4984294,5.79,5.77,26.9,11 m -   25 m,0
(2023 SF),2023-Sep-15 02:39 ± < 00:01,5700552,5665925,7.92,7.91,25.7,19 m -   42 m,0
(2023 SK4),2023-Sep-15 06:17 ± < 00:01,4624033,4600412,11.66,11.65,24.9,28 m -   62 m,0
(2023 SB),2023-Sep-15 09:05 ± < 00:01,2589851,2582307,6.28,6.26,27,11 m -   24 m,0
(2023 RO2),2023-Sep-15 11:37 ±    00:01,2662950,2648300,6.05,6.02,27.8,7.4 m -   17 m,0
(2023 SJ4),2023-Sep-15 15:33 ±    00:02,3516889,3500837,12.35,12.34,25.3,23 m -   51 m,0
(2023 SO4),2023-Sep-16 07:06 ± < 00:01,3499696,3470578,6.01,5.99,27.5,8.3 m -   19 m,0
(2016 LY48),2023-Sep-16 08:32 ± < 00:01,1926072,1926057,10.83,10.81,22.9,71 m -  160 m,1
(2023 SR5),2023-Sep-16 12:23 ±    00:12,174519,173301,9.35,9.1,28.7,4.9 m -   11 m,0
(2023 SR2),2023-Sep-16 13:07 ±    00:04,1144515,1136437,9.07,9.03,27.1,10 m -   23 m,0
(2023 RY7),2023-Sep-16 14:22 ± < 00:01,5259005,5238222,11.15,11.14,25.5,21 m -   46 m,0
(2023 SX),2023-Sep-16 14:30 ±    00:02,4690013,4665321,7.71,7.7,26.5,13 m -   29 m,0
(2023 RM5),2023-Sep-16 18:19 ± < 00:01,4413664,4396848,9.45,9.44,26.5,14 m -   30 m,0
(2023 RB15),2023-Sep-16 20:43 ± < 00:01,5607434,5516936,8.33,8.32,26,17 m -   38 m,0
(2023 RG13),2023-Sep-16 20:50 ± < 00:01,4852076,4841582,7,6.99,24.5,34 m -   76 m,0
(2023 SU4),2023-Sep-16 22:29 ± < 00:01,3227160,3210110,10.87,10.85,27.3,9.1 m -   20 m,0
(2023 RQ9),2023-Sep-16 23:11 ±    00:05,4020920,3994739,7.66,7.65,25.8,19 m -   42 m,0
(2023 SA),2023-Sep-17 00:51 ±    00:04,3142333,3126241,14.7,14.69,26.9,11 m -   25 m,0
(2023 RD13),2023-Sep-17 03:43 ± < 00:01,3479895,3473406,4.87,4.84,26.6,12 m -   28 m,0
(2023 RH11),2023-Sep-17 05:48 ± < 00:01,1364246,1361597,14.3,14.28,26.6,13 m -   29 m,0
(2023 SF4),2023-Sep-17 10:57 ±    00:02,1153375,1149934,7.53,7.49,27.5,8.4 m -   19 m,0
(2023 SY),2023-Sep-17 14:33 ± < 00:01,5057038,5027438,11.22,11.21,25.2,24 m -   54 m,0
(2023 RJ11),2023-Sep-17 14:47 ± < 00:01,5722917,5703451,6.78,6.77,26.1,16 m -   35 m,0
(2023 SZ5),2023-Sep-17 15:59 ± < 00:01,3845065,3809443,8.4,8.39,26.9,11 m -   25 m,0
(2023 RO9),2023-Sep-17 19:48 ±    00:01,5053336,5035136,12.28,12.28,25.9,18 m -   40 m,0
(2023 SZ2),2023-Sep-18 00:19 ±    00:17,2690872,2676831,2.76,2.7,28.8,4.6 m -   10 m,0
(2023 SQ),2023-Sep-18 03:03 ± < 00:01,861222,860922,6.08,6,25,26 m -   59 m,1
(2023 SZ3),2023-Sep-18 04:32 ± < 00:01,4360573,4305720,10.69,10.69,23.9,43 m -   96 m,0
(2010 TE),2023-Sep-18 05:04 ± < 00:01,3754759,3754687,5.63,5.61,26.1,16 m -   36 m,0
(2023 RV7),2023-Sep-18 10:55 ± < 00:01,4104939,4073311,19.87,19.87,25.1,25 m -   56 m,0
(2023 RV9),2023-Sep-18 11:38 ± < 00:01,3871254,3858984,7.19,7.17,24.9,28 m -   63 m,0
(2023 SC2),2023-Sep-18 14:52 ± < 00:01,173894,173484,18.46,18.34,29.3,3.7 m -  8.2 m,0
(2023 SU1),2023-Sep-18 17:31 ±    00:02,6517078,6482686,6.8,6.8,25.8,18 m -   41 m,0
(2023 RE15),2023-Sep-18 21:19 ±    00:47,6145424,6119578,3.06,3.04,25.9,18 m -   40 m,0
(2023 RG16),2023-Sep-18 21:52 ± < 00:01,1378826,1374212,11.8,11.78,26.5,13 m -   30 m,0
(2023 SS6),2023-Sep-19 11:56 ± < 00:01,2723240,2714982,10.13,10.11,25.4,22 m -   49 m,0
(2023 SN11),2023-Sep-19 12:21 ± < 00:01,6579176,6549639,20.81,20.81,23.8,47 m -  100 m,0
(2023 SB1),2023-Sep-19 18:43 ± < 00:01,467117,466471,15.88,15.83,28.3,5.9 m -   13 m,0
(2023 RF13),2023-Sep-19 18:56 ± < 00:01,4026971,4022209,7.17,7.15,25.3,23 m -   52 m,0
(2023 RK3),2023-Sep-19 20:21 ± < 00:01,7185096,7157685,9.56,9.56,24.8,29 m -   65 m,0
(2023 SL43),2023-Sep-19 20:49 ±    00:03,3911078,3858507,21.71,21.7,25.7,19 m -   43 m,0
(2023 SF3),2023-Sep-20 04:18 ± < 00:01,3026229,3017545,16.89,16.89,24.5,33 m -   73 m,0
(2023 RV15),2023-Sep-20 05:23 ± < 00:01,4946724,4911760,14.5,14.49,25.3,24 m -   53 m,0
(2023 RV12),2023-Sep-20 06:37 ± < 00:01,3427212,3420201,6.64,6.62,26.2,15 m -   34 m,0
(2023 SN1),2023-Sep-20 07:42 ± < 00:01,331882,331493,16.2,16.12,29.3,3.6 m -  8.1 m,0
(2023 SL5),2023-Sep-20 07:53 ±    00:03,51870,51683,13.89,13.33,28.8,4.6 m -   10 m,1
(2023 RP9),2023-Sep-20 08:31 ± < 00:01,880399,879144,13.23,13.2,25.5,21 m -   48 m,1
(2023 RA8),2023-Sep-20 10:08 ± < 00:01,5941862,5920609,6.59,6.58,25.6,20 m -   45 m,0
(2023 UG),2023-Sep-20 11:10 ± < 00:01,4506461,4492258,4.15,4.13,26.6,13 m -   29 m,0
(2023 SB7),2023-Sep-20 12:28 ± < 00:01,3990464,3966909,6.65,6.63,26.3,14 m -   32 m,0
(2023 SP4),2023-Sep-20 22:48 ± < 00:01,5004103,4963773,7.24,7.22,25.7,19 m -   42 m,0
(2023 ST),2023-Sep-21 01:39 ± < 00:01,818363,813455,22.98,22.96,26.1,16 m -   36 m,0
(2023 SR4),2023-Sep-21 05:36 ±    00:19,7140658,7055339,6.22,6.21,26.4,14 m -   31 m,0
(2023 SQ5),2023-Sep-21 08:07 ± < 00:01,3077636,3068534,12.34,12.33,25,27 m -   59 m,0
(2023 SW),2023-Sep-21 09:51 ± < 00:01,768637,767951,12.29,12.25,27,11 m -   24 m,0
(2023 SJ),2023-Sep-21 11:23 ± < 00:01,6474667,6436419,16.49,16.49,24.2,38 m -   85 m,0
(2023 SP5),2023-Sep-21 17:02 ± < 00:01,2703580,2698801,7.63,7.61,25.6,20 m -   45 m,0
(2023 RR6),2023-Sep-21 18:33 ±    00:02,5960343,5830263,7.5,7.49,27,11 m -   24 m,0
(2023 SV5),2023-Sep-21 21:06 ± < 00:01,832049,830737,8.29,8.24,27.4,8.9 m -   20 m,0
(2023 SN5),2023-Sep-22 01:00 ± < 00:01,1822560,1820672,9.02,9,24.9,27 m -   61 m,0
(2023 SU5),2023-Sep-22 03:13 ± < 00:01,3341943,3331345,7.94,7.92,23.6,50 m -  110 m,1
(2023 SA7),2023-Sep-22 05:07 ± < 00:01,6745662,6716092,15.74,15.74,24,42 m -   94 m,0
(2023 SR6),2023-Sep-22 08:37 ± < 00:01,2219732,2205498,8.01,7.99,25.7,19 m -   43 m,0
(2023 SY5),2023-Sep-22 14:42 ± < 00:01,545903,544619,11.02,10.96,27.6,7.9 m -   18 m,0
(2023 RQ6),2023-Sep-22 19:06 ±    00:01,6066950,6033921,9.42,9.41,25.8,19 m -   41 m,0
(2023 ST6),2023-Sep-23 00:18 ± < 00:01,6618252,6529321,36.37,36.37,24.9,28 m -   63 m,0
(2023 SC3),2023-Sep-23 00:36 ±    00:24,6292174,6243905,9.62,9.61,26.9,11 m -   24 m,0
(2023 SQ6),2023-Sep-23 01:03 ±    00:03,880022,876874,9.73,9.68,27,11 m -   24 m,0
(2023 SF7),2023-Sep-23 01:19 ±    00:29,7139496,7072714,8.39,8.38,26.2,15 m -   34 m,0
(2023 SO6),2023-Sep-23 09:06 ±    00:02,2581949,2574248,8.1,8.08,26.6,12 m -   28 m,0
(2023 SM5),2023-Sep-23 11:14 ± < 00:01,376207,374881,11.51,11.41,26.4,14 m -   32 m,1
(2023 SV2),2023-Sep-23 14:17 ± < 00:01,1715641,1711511,12.78,12.76,27.1,10 m -   23 m,0
(2023 SW5),2023-Sep-23 20:37 ±    00:04,3608783,3595160,10.86,10.85,25.4,22 m -   50 m,0
(2023 RD15),2023-Sep-24 01:44 ±    00:02,2295160,2289126,4.98,4.94,26.9,11 m -   25 m,0
(2023 SQ1),2023-Sep-24 04:54 ± < 00:01,2085152,2073901,20.51,20.5,26.3,14 m -   32 m,0
(2023 SD3),2023-Sep-24 06:43 ± < 00:01,6009282,5996918,3.47,3.45,26.8,12 m -   26 m,0
(2023 SN8),2023-Sep-24 09:35 ± < 00:01,230879,228832,8.29,8.08,28,6.6 m -   15 m,0
(2023 TV8),2023-Sep-24 10:40 ±    00:20,4544017,4483796,7.35,7.33,26.3,15 m -   33 m,0
(2023 SB2),2023-Sep-24 17:21 ± < 00:01,2652139,2626552,8.03,8.01,27.6,7.9 m -   18 m,0
(2023 TM),2023-Sep-24 20:28 ± < 00:01,5588763,5576005,15.08,15.08,24.2,38 m -   86 m,0
(2023 SP3),2023-Sep-24 23:29 ± < 00:01,328649,328410,11.68,11.57,26.6,12 m -   28 m,1
(2023 ST2),2023-Sep-25 00:34 ± < 00:01,2969701,2937426,21.16,21.16,26.1,16 m -   35 m,0
(2023 SH7),2023-Sep-25 16:50 ± < 00:01,53782,53748,8.62,7.71,31.6,1.3 m -  2.8 m,0
(2023 SZ),2023-Sep-25 20:27 ±    00:03,2127292,2108401,4.26,4.22,25.9,18 m -   40 m,0
(2023 TN),2023-Sep-25 22:15 ± < 00:01,5623482,5594220,11.04,11.03,24.7,30 m -   67 m,0
(2023 SY3),2023-Sep-26 01:21 ± < 00:01,1313098,1310600,7.88,7.85,26.9,11 m -   24 m,0
(2023 SO5),2023-Sep-26 05:37 ± < 00:01,4970577,4928099,16.8,16.8,25.9,18 m -   40 m,0
(2023 SX7),2023-Sep-26 13:45 ± < 00:01,4304066,4300115,10.38,10.37,24.9,27 m -   61 m,0
(2019 SF6),2023-Sep-26 18:54 ± < 00:01,6402289,6402186,8.61,8.61,26.3,15 m -   33 m,0
(2023 SP6),2023-Sep-26 21:41 ± < 00:01,560141,558830,17,16.95,28,6.6 m -   15 m,0
(2023 SE2),2023-Sep-27 03:24 ± < 00:01,2936076,2894487,23.93,23.93,25.8,19 m -   42 m,0
(2023 TC3),2023-Sep-27 14:46 ±    00:05,5888903,5741862,11.15,11.15,26.6,13 m -   29 m,0
(2023 UX27),2023-Sep-27 16:11 ± 7_05:35,4316272,2384514,9.43,9.42,25.9,17 m -   39 m,0
(2023 SF6),2023-Sep-27 19:46 ± < 00:01,1461906,1454557,17.38,17.37,26.3,15 m -   33 m,0
(2023 TE14),2023-Sep-28 03:49 ±    00:10,5021270,4970970,13.4,13.4,23.7,49 m -  110 m,0
(2023 SY1),2023-Sep-28 08:21 ±    00:03,2770476,2748610,10.09,10.07,27.4,8.9 m -   20 m,0
(2023 RF3),2023-Sep-28 13:33 ± < 00:01,5914638,5909558,7.7,7.69,24.9,27 m -   61 m,0
(2023 SW6),2023-Sep-28 14:42 ± < 00:01,1342400,1338314,11.88,11.85,26.6,13 m -   28 m,0
(2023 TV5),2023-Sep-28 19:39 ±    02:01,1190389,1164581,9.3,9.26,25.6,20 m -   45 m,0
(2023 TH2),2023-Sep-28 19:59 ±    00:14,1647726,1631349,9.94,9.91,27.5,8.4 m -   19 m,0
(2013 TG6),2023-Sep-28 22:21 ± < 00:01,1356770,1356726,4.14,4.07,26.6,13 m -   29 m,0
(2023 TU1),2023-Sep-29 00:36 ±    00:04,2984131,2929780,19.16,19.15,25.7,19 m -   42 m,0
(2023 SE4),2023-Sep-29 03:15 ± < 00:01,2038764,2034267,4.63,4.59,27,11 m -   24 m,0
(2023 RF9),2023-Sep-29 05:17 ± < 00:01,4061864,4046333,9.24,9.23,25.7,19 m -   43 m,0
(2023 TM2),2023-Sep-29 11:52 ± < 00:01,5989356,5968984,6.4,6.39,26.2,15 m -   34 m,0
(2023 TA),2023-Sep-30 02:19 ± < 00:01,424105,423701,3.3,3,27.9,6.9 m -   15 m,0
(2023 TG1),2023-Sep-30 02:49 ± < 00:01,6477741,6461362,6.26,6.25,25.2,25 m -   55 m,0
(2023 SC4),2023-Sep-30 07:07 ± < 00:01,4754406,4683281,8.34,8.32,26.1,16 m -   37 m,0
(2023 TE2),2023-Sep-30 09:02 ± < 00:01,4637634,4612723,10.09,10.09,25,26 m -   59 m,0
(2023 SL8),2023-Sep-30 09:02 ± < 00:01,774327,773771,12.57,12.53,24.4,35 m -   78 m,1
(2023 SA6),2023-Sep-30 12:19 ± < 00:01,6287185,6215594,9.74,9.73,26.1,16 m -   36 m,0
(2009 UG),2023-Sep-30 13:26 ± < 00:01,2348952,2348952,9,8.99,23.5,53 m -  120 m,1
(2023 TE10),2023-Sep-30 13:45 ±    07:50,607056,585229,9.42,9.35,27.5,8.4 m -   19 m,0
(2023 SY2),2023-Oct-01 01:30 ± < 00:01,3495154,3489190,9.91,9.9,26.2,15 m -   35 m,0
(2023 TO2),2023-Oct-01 12:08 ±    00:04,1763661,1756104,12.09,12.07,26.6,13 m -   29 m,0
(2023 TJ),2023-Oct-01 18:52 ± < 00:01,1792862,1787219,23.21,23.2,25.2,24 m -   54 m,0
(2023 TG5),2023-Oct-02 01:01 ±    00:40,6488269,6406777,5.13,5.12,26.7,12 m -   27 m,0
(2023 TA5),2023-Oct-02 04:38 ±    00:08,5258665,5206927,6.05,6.03,25.6,20 m -   45 m,0
(2023 TF1),2023-Oct-02 09:45 ± < 00:01,3799778,3784721,12.2,12.19,25.2,24 m -   54 m,0
(2023 TS),2023-Oct-02 20:46 ± < 00:01,864618,860549,17.69,17.66,27.2,9.8 m -   22 m,0
(2023 UJ),2023-Oct-02 20:57 ±    01:21,2761413,2746767,6.46,6.43,26.3,15 m -   33 m,0
(2023 TB),2023-Oct-02 21:18 ± < 00:01,982358,980274,13.28,13.25,26.8,12 m -   26 m,0
(2023 TH),2023-Oct-03 15:59 ± < 00:01,1496345,1494872,7.96,7.93,26.9,11 m -   25 m,0
349507 (2008 QY),2023-Oct-03 20:40 ± < 00:01,6324931,6324931,20.96,20.96,18.5,530 m -  1.2 km,2
(2023 TY),2023-Oct-03 22:37 ± < 00:01,204816,204087,13.13,12.98,29.1,3.9 m -  8.8 m,0
(2023 TW1),2023-Oct-04 04:12 ± < 00:01,2029529,2019779,19.83,19.82,24.6,31 m -   70 m,1
(2023 TA9),2023-Oct-04 05:05 ±    00:02,1162228,1158880,5.79,5.73,26.6,12 m -   28 m,0
(2023 TC),2023-Oct-04 17:42 ± < 00:01,851334,851324,7.38,7.31,26.5,13 m -   30 m,0
(2023 SN6),2023-Oct-04 22:58 ± < 00:01,4825434,4803011,8.5,8.49,25.6,20 m -   44 m,0
(2023 RF10),2023-Oct-05 03:49 ±    00:19,6066367,6012239,5.79,5.78,25.6,20 m -   45 m,0
(2023 QC8),2023-Oct-05 04:02 ± < 00:01,6039588,6038434,6.32,6.31,24.7,31 m -   69 m,0
(2023 TW3),2023-Oct-05 05:01 ± < 00:01,637420,635881,9.9,9.84,26.5,13 m -   30 m,0
(2023 TD),2023-Oct-05 05:41 ± < 00:01,938029,936487,8,7.95,27.1,10 m -   23 m,0
(2023 TN3),2023-Oct-05 07:47 ± < 00:01,1555504,1554317,3.54,3.46,27.5,8.4 m -   19 m,0
(2023 TW9),2023-Oct-05 18:29 ± < 00:01,7135680,7094636,12.67,12.66,24,42 m -   94 m,0
(2023 TN2),2023-Oct-05 20:56 ±    00:01,3127340,3112298,7.23,7.21,28.1,6.4 m -   14 m,0
(2023 TY1),2023-Oct-05 21:40 ±    00:01,7310633,7247281,6,5.99,26.4,14 m -   31 m,0
(2023 TU),2023-Oct-06 03:12 ±    00:05,2347504,2342452,8.19,8.17,28,6.6 m -   15 m,0
(2023 TG),2023-Oct-06 06:40 ± < 00:01,691087,690375,7.22,7.14,28.2,6.1 m -   14 m,0
(2023 TL3),2023-Oct-06 08:10 ± < 00:01,896384,895605,16.2,16.17,25.4,22 m -   49 m,1
(2023 TO3),2023-Oct-06 13:43 ± < 00:01,797496,796547,13.69,13.65,27.8,7.3 m -   16 m,0
(2023 TQ),2023-Oct-06 16:29 ± < 00:01,2261481,2257604,13.22,13.21,25.7,19 m -   43 m,0
(2023 TY8),2023-Oct-06 16:30 ±    00:22,5653897,5568110,14.27,14.27,26,17 m -   38 m,0
(2023 US9),2023-Oct-06 19:13 ±    00:05,5071807,5060127,8.75,8.74,23.4,56 m -  120 m,0
(2023 TA6),2023-Oct-06 20:54 ± < 00:01,2927152,2916279,9.89,9.88,26.9,11 m -   25 m,0
(2022 TD),2023-Oct-07 00:15 ± < 00:01,3406396,3406334,9.4,9.39,27.7,7.6 m -   17 m,0
(2023 RR29),2023-Oct-07 01:16 ± < 00:01,3525305,3522344,8.11,8.1,24.8,29 m -   65 m,0
(2023 TD32),2023-Oct-07 04:58 ± < 00:01,4895194,4862014,15.3,15.3,25.6,20 m -   45 m,0
(2023 TR1),2023-Oct-07 05:25 ± < 00:01,107778,107682,19.98,19.79,29.8,2.9 m -  6.4 m,0
(2023 TB1),2023-Oct-07 13:26 ± < 00:01,260902,260366,9.36,9.19,29.3,3.7 m -  8.2 m,0
(2023 TK4),2023-Oct-07 13:40 ±    00:10,203696,201471,14.23,14.09,28.7,4.8 m -   11 m,0
(2023 UR),2023-Oct-07 18:14 ± < 00:01,7206718,7196611,9.57,9.56,24.4,35 m -   77 m,0
(2023 TK),2023-Oct-07 19:11 ± < 00:01,2211090,2205827,4.89,4.86,27.1,10 m -   23 m,0
(2023 TJ4),2023-Oct-07 21:08 ±    00:01,297110,295945,12.54,12.43,29.3,3.7 m -  8.2 m,0
(2023 TD1),2023-Oct-07 21:28 ± < 00:01,892996,888728,17.46,17.44,27.1,10 m -   22 m,0
(2023 TX),2023-Oct-07 21:53 ± < 00:01,576333,575573,7,6.9,29.7,3.1 m -  7.0 m,0
(2023 UA4),2023-Oct-08 01:07 ±    00:19,4934916,4844140,11.84,11.84,26.3,14 m -   32 m,0
(2023 SA1),2023-Oct-08 08:32 ±    00:02,6845421,6825437,5.89,5.88,25.7,19 m -   43 m,0
(2023 TL4),2023-Oct-08 10:14 ± < 00:01,4805123,4804981,34.44,34.44,20,260 m -  590 m,1
(2023 TA1),2023-Oct-08 12:51 ±    00:06,3577510,3564052,8.35,8.34,26.5,13 m -   30 m,0
(2018 ER1),2023-Oct-08 14:03 ±    00:40,4798556,4741532,5.29,5.28,25.7,19 m -   43 m,0
(2023 TS5),2023-Oct-08 14:15 ±    00:39,3443024,3379488,7.51,7.49,28,6.7 m -   15 m,0
(2023 TY10),2023-Oct-08 16:03 ±    00:04,587287,582328,15.52,15.48,28.7,4.8 m -   11 m,0
(2023 TJ8),2023-Oct-08 16:19 ± < 00:01,3990970,3979156,8.07,8.06,27.4,8.8 m -   20 m,0
(2023 UK),2023-Oct-08 17:15 ±    00:11,5259847,5189199,12.9,12.9,26.1,16 m -   35 m,0
(2023 UF),2023-Oct-09 00:04 ±    04:30,1870992,1812067,10.43,10.41,27.9,7.0 m -   16 m,0
(2023 UZ2),2023-Oct-09 02:35 ±    00:35,4947394,4934393,3.77,3.75,26.9,11 m -   25 m,0
(2023 TX6),2023-Oct-09 05:07 ± < 00:01,464636,463786,8.38,8.28,29.2,3.9 m -  8.8 m,0
(2023 TN22),2023-Oct-09 09:12 ±    00:04,6633856,6519990,9.2,9.2,25.5,21 m -   47 m,0
(2023 TL),2023-Oct-09 10:28 ± < 00:01,3173909,3158993,13.92,13.91,24.5,33 m -   74 m,0
(2023 TY9),2023-Oct-09 12:38 ± < 00:01,1874378,1869980,17.96,17.95,25,27 m -   61 m,0
(2023 TW),2023-Oct-09 14:18 ± < 00:01,793710,792551,7.69,7.63,27.3,9.3 m -   21 m,0
(2023 TZ5),2023-Oct-09 17:02 ± < 00:01,2329059,2324577,13.54,13.52,26.6,12 m -   28 m,0
(2023 TM15),2023-Oct-09 18:21 ± < 00:01,3037701,3019431,17.07,17.06,26.8,11 m -   26 m,0
(2023 TX19),2023-Oct-09 20:18 ±    00:09,2978989,2933815,14.63,14.62,25.5,21 m -   47 m,0
(2023 TR),2023-Oct-09 22:04 ± < 00:01,1586640,1581644,7.45,7.42,26.1,16 m -   35 m,0
(2023 TZ65),2023-Oct-10 02:27 ±    00:03,179904,179559,21.59,21.49,29.6,3.2 m -  7.0 m,0
(2023 TO),2023-Oct-10 04:43 ± < 00:01,1451770,1450619,10.67,10.65,26.3,15 m -   33 m,0
(2023 TA7),2023-Oct-10 07:01 ± < 00:01,4747442,4732442,10.43,10.42,24.9,28 m -   64 m,0
(2023 TM3),2023-Oct-10 12:57 ± < 00:01,165596,165561,11.51,11.3,26.9,11 m -   24 m,1
(2023 UC2),2023-Oct-10 16:27 ±    00:02,3108109,3091088,16.08,16.07,26.8,12 m -   26 m,0
(2023 TG8),2023-Oct-10 20:22 ± < 00:01,1167304,1165233,12.52,12.49,28.1,6.4 m -   14 m,0
(2023 TZ4),2023-Oct-10 23:01 ± < 00:01,4123084,4111139,8.68,8.67,25.4,22 m -   50 m,0
(2023 TH8),2023-Oct-10 23:23 ± < 00:01,940717,937789,29.53,29.52,26.4,14 m -   31 m,0
(2023 UD),2023-Oct-10 23:41 ± < 00:01,1929555,1925319,10,9.98,27.5,8.5 m -   19 m,0
(2023 TF2),2023-Oct-11 02:03 ± < 00:01,3651417,3614252,19.04,19.04,25.4,22 m -   48 m,0
(2023 TE),2023-Oct-11 04:37 ± < 00:01,1627407,1625226,5.58,5.54,26.9,11 m -   24 m,0
(2023 TP22),2023-Oct-11 06:05 ± < 00:01,6393149,6368353,13.88,13.87,22.8,73 m -  160 m,0
(2023 TU9),2023-Oct-11 06:21 ± < 00:01,4947125,4936718,12.4,12.39,23.3,58 m -  130 m,0
(2023 UQ1),2023-Oct-11 07:46 ±    00:03,3702015,3665369,8.37,8.36,26.5,14 m -   30 m,0
(2023 UM3),2023-Oct-11 11:06 ±    00:07,6108588,6067881,14.23,14.23,25,26 m -   59 m,0
(2023 UZ8),2023-Oct-11 12:52 ±    00:04,3394279,3365196,5.52,5.5,26.8,12 m -   26 m,0
(2022 UX1),2023-Oct-11 13:53 ±    04:47,1198605,736517,8.58,8.54,28,6.7 m -   15 m,0
(2023 UY8),2023-Oct-11 15:01 ±    01:59,1820170,1769762,9.43,9.4,26,17 m -   38 m,0
(2023 RD11),2023-Oct-11 20:35 ± < 00:01,4906522,4901563,9.53,9.52,24.6,31 m -   70 m,0
(2023 TF4),2023-Oct-11 21:52 ± < 00:01,2292628,2287550,8.72,8.7,26.8,12 m -   26 m,0
(2023 TA16),2023-Oct-11 22:43 ± < 00:01,755319,753078,19.57,19.55,28.1,6.3 m -   14 m,0
(2023 TZ9),2023-Oct-12 00:18 ±    00:04,4177661,4154398,15.06,15.05,24.9,28 m -   63 m,0
(2015 KW120),2023-Oct-12 02:37 ± < 00:01,6967917,6967849,13.03,13.03,26,17 m -   38 m,0
(2023 TA10),2023-Oct-12 05:59 ± < 00:01,6986184,6975215,9.4,9.39,24.1,39 m -   88 m,0
(2023 TP1),2023-Oct-12 06:37 ± < 00:01,5333477,5267656,13.24,13.24,24.7,31 m -   69 m,0
(2023 TS16),2023-Oct-12 12:38 ± < 00:01,3568811,3561914,11.17,11.16,26,17 m -   38 m,0
(2023 TV3),2023-Oct-12 12:52 ± < 00:01,83294,83203,14.21,13.87,27.8,7.5 m -   17 m,1
(2023 TL8),2023-Oct-12 13:24 ± < 00:01,3531652,3521626,9.84,9.83,25.2,25 m -   55 m,0
(2023 UL),2023-Oct-12 18:45 ± < 00:01,2292332,2286080,9.29,9.28,28.1,6.4 m -   14 m,0
(2023 TF3),2023-Oct-12 23:28 ±    00:03,4235068,4211392,19.61,19.61,25.6,20 m -   44 m,0
(2023 TU15),2023-Oct-12 23:46 ±    00:02,291593,290950,12.02,11.9,29.2,3.9 m -  8.8 m,0
(2023 TC1),2023-Oct-13 02:57 ± < 00:01,4044327,4024750,8.12,8.11,26.9,11 m -   25 m,0
(2023 TB4),2023-Oct-13 04:06 ± < 00:01,2601122,2588217,10.62,10.6,26.9,11 m -   25 m,0
(2023 TK12),2023-Oct-13 05:41 ±    00:03,4571254,4543254,17.76,17.75,25.8,19 m -   42 m,0
(2023 TE8),2023-Oct-13 07:55 ± < 00:01,6586579,6509549,12.34,12.33,26.1,16 m -   36 m,0
(2023 TP15),2023-Oct-13 14:20 ± < 00:01,1115367,1112360,22.92,22.91,26,17 m -   38 m,0
(2023 TM27),2023-Oct-13 15:09 ± < 00:01,514451,513890,12.54,12.48,28.7,4.8 m -   11 m,0
