Object,Close-Approach (CA) Date,CA DistanceNominal (km),CA DistanceMinimum (km),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity
(2023 OR1),2023-Jul-27 10:02 ± < 00:01,1196081,1191869,11.42,11.39,26.4,14 m -   30 m,0
(2018 BG5),2023-Jul-27 17:20 ± < 00:01,4124499,4124476,8.36,8.35,24.1,41 m -   91 m,0
(2023 OY3),2023-Jul-29 10:37 ±    00:04,5533878,5497337,10.57,10.56,25.8,18 m -   41 m,0
(2020 PP1),2023-Jul-29 18:08 ± < 00:01,6526546,6526525,4.07,4.05,26.7,12 m -   27 m,0
(2023 PA),2023-Jul-30 12:59 ± < 00:01,4474303,4453060,8.26,8.25,25.7,19 m -   43 m,0
(2021 BD3),2023-Jul-30 14:38 ±    09:51,5355669,4324843,8.5,8.49,25.7,19 m -   43 m,0
(2023 OQ2),2023-Jul-30 18:07 ± < 00:01,1568685,1567959,3.76,3.69,27.2,9.5 m -   21 m,0
(2023 QM),2023-Jul-31 03:03 ±    00:01,6453404,6438275,2.48,2.46,26.8,11 m -   26 m,0
(2016 AW65),2023-Jul-31 19:22 ± < 00:01,6394038,6394022,5.72,5.71,24.4,35 m -   77 m,0
(2023 QP2),2023-Jul-31 23:12 ±    00:09,6212101,6189200,6.84,6.83,24.6,33 m -   73 m,0
(2023 OQ3),2023-Aug-01 06:46 ± < 00:01,1506237,1504547,9.78,9.75,25.1,26 m -   57 m,1
(2023 QR2),2023-Aug-01 12:07 ±    01:39,2983048,2925896,7.29,7.27,25.9,17 m -   39 m,0
(2023 OD5),2023-Aug-01 17:19 ± < 00:01,5301271,5273037,18.22,18.21,24.2,39 m -   86 m,0
(2023 OS3),2023-Aug-01 20:49 ± < 00:01,962124,960686,4.82,4.73,27.7,7.5 m -   17 m,0
(2023 OF1),2023-Aug-02 10:25 ± < 00:01,6795535,6748775,10.73,10.73,24.9,28 m -   63 m,0
(2023 QM1),2023-Aug-02 16:48 ±    00:10,7287832,7230283,7.59,7.58,25.5,21 m -   47 m,0
(2023 OY4),2023-Aug-02 19:48 ± < 00:01,1219625,1214209,17.64,17.62,25.3,23 m -   52 m,1
(2023 OW4),2023-Aug-03 04:13 ±    00:05,565080,563470,9.68,9.61,27.8,7.4 m -   17 m,0
(2020 PN1),2023-Aug-03 13:02 ± < 00:01,4152623,4152609,4.84,4.82,25.4,22 m -   48 m,0
(2023 PD),2023-Aug-03 23:34 ± < 00:01,4425603,4418023,7.04,7.03,24.9,28 m -   62 m,0
620082 (2014 QL433),2023-Aug-04 10:05 ± < 00:01,5348720,5348720,20.62,20.62,19.9,280 m -  630 m,1
(2023 OR5),2023-Aug-04 21:44 ± < 00:01,2846493,2843951,7.45,7.43,25.2,24 m -   54 m,0
(2023 PK1),2023-Aug-05 16:55 ±    00:02,5756659,5716533,10.15,10.14,25.5,22 m -   48 m,0
(2023 PL),2023-Aug-05 23:13 ± < 00:01,5810590,5776251,19.56,19.56,22.3,91 m -  200 m,1
(2023 OQ),2023-Aug-06 11:02 ± < 00:01,3799331,3798963,21.32,21.31,21.9,110 m -  250 m,1
(2023 PR),2023-Aug-06 12:43 ± < 00:01,2333752,2327822,5.12,5.09,24.5,33 m -   74 m,0
(2023 PN),2023-Aug-06 17:14 ± < 00:01,3183554,3183006,7.62,7.61,25.1,26 m -   58 m,0
(2023 PT),2023-Aug-07 13:30 ±    00:20,531429,529290,7.49,7.39,27.1,10 m -   23 m,0
(2023 PO1),2023-Aug-08 12:41 ±    00:06,991476,986502,8.42,8.37,26.3,15 m -   33 m,0
(2023 QN5),2023-Aug-09 00:06 ±    01:30,5362039,5292586,7.6,7.59,24.5,33 m -   74 m,0
(2023 PU),2023-Aug-09 22:29 ± < 00:01,3116794,3108923,7.95,7.94,27.1,9.9 m -   22 m,0
(2023 PO),2023-Aug-10 10:04 ± < 00:01,5648667,5616628,8,7.99,25.9,18 m -   40 m,0
(2022 BS2),2023-Aug-11 20:11 ±    05:05,6632441,6255898,8.22,8.21,25.4,23 m -   51 m,0
(2023 QD),2023-Aug-12 11:48 ±    00:06,1272984,1269667,7.56,7.52,26.7,12 m -   27 m,0
(2023 QD5),2023-Aug-12 21:32 ±    00:03,1525083,1514075,22.24,22.23,25.8,18 m -   41 m,0
(2023 PP1),2023-Aug-12 23:48 ±    00:04,6413838,6381383,8.41,8.4,25.5,21 m -   47 m,0
(2023 PB1),2023-Aug-13 20:04 ± < 00:01,1552171,1543732,15.52,15.5,26.4,14 m -   31 m,0
(2023 OE5),2023-Aug-14 00:33 ± < 00:01,1544842,1544211,3.87,3.8,26.3,14 m -   32 m,0
(2023 PA1),2023-Aug-14 08:07 ± < 00:01,2521340,2510005,20.24,20.23,25.3,23 m -   51 m,0
(2023 PQ),2023-Aug-14 11:17 ± < 00:01,756138,753875,14.82,14.78,25,26 m -   59 m,1
(2023 PS),2023-Aug-14 20:39 ± < 00:01,2538429,2533464,7.86,7.84,26.6,13 m -   29 m,0
(2023 PC),2023-Aug-14 20:54 ± < 00:01,5091193,5085789,5.26,5.25,24.6,33 m -   73 m,0
(2023 QH5),2023-Aug-15 18:05 ± < 00:01,5660736,5651211,9.73,9.73,24.6,33 m -   73 m,0
(2023 PX),2023-Aug-15 23:30 ± < 00:01,4975524,4953982,7.57,7.56,25.9,17 m -   39 m,0
(2023 QT4),2023-Aug-15 23:58 ±    00:02,5851015,5780480,18.51,18.5,22.7,76 m -  170 m,0
(2023 PH1),2023-Aug-16 21:57 ± < 00:01,2005752,2002321,5.98,5.95,27.7,7.7 m -   17 m,0
(2023 QD1),2023-Aug-17 01:23 ±    00:09,1253908,1247472,7.19,7.15,27.3,9.4 m -   21 m,0
(2022 CP1),2023-Aug-17 07:27 ±    02:25,5270434,5041762,9.82,9.81,27.4,9.0 m -   20 m,0
(2023 PZ),2023-Aug-17 23:32 ± < 00:01,522928,522913,1.57,0.96,29.1,4.0 m -  8.9 m,0
(2023 PD1),2023-Aug-18 12:30 ±    00:01,5876480,5842866,7.49,7.48,25.4,23 m -   50 m,0
(2023 QC),2023-Aug-18 12:40 ± < 00:01,1364791,1364047,7.99,7.95,24.7,30 m -   67 m,1
(2023 QY),2023-Aug-18 15:49 ±    00:11,66911,66331,13.22,12.77,28.6,5.0 m -   11 m,1
(2023 RA),2023-Aug-18 23:06 ±    00:22,1965943,1952006,10.18,10.16,25.1,25 m -   56 m,0
(2023 QP3),2023-Aug-19 09:10 ±    00:12,1576785,1564324,10.86,10.84,27.6,8.2 m -   18 m,0
(2023 QE2),2023-Aug-19 09:18 ±    00:02,408563,407485,12.38,12.3,27.8,7.4 m -   17 m,0
(2011 QJ21),2023-Aug-19 09:40 ± 5_07:17,4961411,4817842,15.05,15.05,24.5,34 m -   76 m,0
(2023 QM5),2023-Aug-19 15:43 ± < 00:01,1306383,1302109,4.22,4.14,26.9,11 m -   25 m,0
(2023 QZ3),2023-Aug-19 17:31 ± < 00:01,6715588,6709278,7.16,7.15,24.8,29 m -   64 m,0
(2023 QS1),2023-Aug-19 18:22 ± < 00:01,107145,107032,15.72,15.48,28.6,5.0 m -   11 m,1
(2023 QR),2023-Aug-20 20:21 ± < 00:01,207604,207363,20.88,20.79,29.3,3.7 m -  8.2 m,0
(2023 QE),2023-Aug-21 04:53 ±    00:03,3317797,3298752,6.54,6.52,27.4,8.8 m -   20 m,0
(2023 PM1),2023-Aug-21 16:22 ± < 00:01,3127174,3117572,18.57,18.56,23.6,50 m -  110 m,1
(2023 QB1),2023-Aug-21 23:10 ± < 00:01,699635,698269,11.29,11.24,28.9,4.3 m -  9.6 m,0
(2023 QO5),2023-Aug-22 02:14 ±    00:04,538409,537461,8.27,8.18,26.9,11 m -   25 m,0
(2023 PM),2023-Aug-22 03:59 ± < 00:01,3648128,3648122,6.97,6.95,24,43 m -   95 m,0
(2023 QZ),2023-Aug-22 08:15 ±    00:04,5179275,5142672,4.51,4.49,26.9,11 m -   25 m,0
(2023 QU1),2023-Aug-22 18:10 ±    00:01,6274826,6257785,5.73,5.72,26.2,16 m -   35 m,0
(2023 QC7),2023-Aug-23 04:26 ± < 00:01,3301749,3293002,7.57,7.55,23.2,60 m -  130 m,1
6037 (1988 EG),2023-Aug-23 08:18 ± < 00:01,6081488,6081486,14.25,14.25,18.9,450 m -  1.0 km,2
(2023 QW),2023-Aug-23 14:37 ± < 00:01,1614879,1610594,16.35,16.33,26,17 m -   38 m,0
(2006 EF1),2023-Aug-23 18:26 ±    00:06,7399083,7398526,11.26,11.26,22.9,69 m -  150 m,0
(2023 QO),2023-Aug-23 20:11 ± < 00:01,2474925,2459493,8.79,8.77,27,11 m -   24 m,0
(2023 QF),2023-Aug-23 20:12 ± < 00:01,738750,738004,5.44,5.33,27.3,9.1 m -   20 m,0
(2023 QS2),2023-Aug-23 23:52 ± < 00:01,4829030,4792423,17.65,17.64,25.1,25 m -   55 m,0
(2023 QN2),2023-Aug-24 08:55 ± < 00:01,7329400,7256000,15.43,15.43,24.6,32 m -   71 m,0
(2023 RT4),2023-Aug-24 17:02 ±    00:04,4919136,4894733,12.04,12.03,24.6,33 m -   73 m,0
(2023 QK2),2023-Aug-24 18:54 ± < 00:01,2964129,2961695,4.88,4.86,26.8,12 m -   27 m,0
(2023 QN7),2023-Aug-24 20:42 ±    00:02,1619900,1607534,24.23,24.22,23.4,54 m -  120 m,1
